"workflowid","gsm_version","param","index","default","configurable","gsm_analysis_date"
"kri0001","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0001","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0001","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0001","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0001","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0001","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0002","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0002","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0002","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0002","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0002","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0002","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0003","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0003","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0003","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0003","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0003","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0003","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0004","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0004","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0004","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0004","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0004","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0004","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0005","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0005","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0005","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0005","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0005","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0005","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0006","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0006","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0006","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0006","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0006","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0006","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0007","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0007","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0007","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0007","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0007","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0007","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0008","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0008","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0008","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0008","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0008","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0008","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0009","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0009","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0009","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0009","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0009","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0009","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0010","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0010","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0010","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0010","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0010","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0010","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0011","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0011","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0011","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0011","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0011","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0011","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"kri0012","1.6.0","strGroup",NA,"Site",FALSE,2023-04-18
"kri0012","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"kri0012","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"kri0012","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"kri0012","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"kri0012","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0001","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0001","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0001","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0001","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0001","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0001","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0002","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0002","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0002","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0002","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0002","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0002","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0003","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0003","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0003","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0003","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0003","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0003","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0004","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0004","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0004","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0004","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0004","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0004","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0005","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0005","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0005","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0005","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0005","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0005","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0006","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0006","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0006","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0006","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0006","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0006","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0007","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0007","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0007","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0007","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0007","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0007","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0008","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0008","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0008","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0008","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0008","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0008","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0009","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0009","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0009","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0009","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0009","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0009","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0010","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0010","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0010","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0010","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0010","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0010","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0011","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0011","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0011","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0011","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0011","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0011","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"cou0012","1.6.0","strGroup",NA,"Country",FALSE,2023-04-18
"cou0012","1.6.0","vThreshold",1,"-3",TRUE,2023-04-18
"cou0012","1.6.0","vThreshold",2,"-2",TRUE,2023-04-18
"cou0012","1.6.0","vThreshold",3,"2",TRUE,2023-04-18
"cou0012","1.6.0","vThreshold",4,"3",TRUE,2023-04-18
"cou0012","1.6.0","strMethod",NA,"NormalApprox",FALSE,2023-04-18
"qtl0004","1.6.0","strGroup",NA,"Study",FALSE,2023-04-18
"qtl0004","1.6.0","vThreshold",1,"0.01",TRUE,2023-04-18
"qtl0004","1.6.0","strMethod",NA,"qtl",FALSE,2023-04-18
"qtl0004","1.6.0","strOutcome",NA,"rate",FALSE,2023-04-18
"qtl0006","1.6.0","strGroup",NA,"Study",FALSE,2023-04-18
"qtl0006","1.6.0","vThreshold",1,"0.2",TRUE,2023-04-18
"qtl0006","1.6.0","strMethod",NA,"qtl",FALSE,2023-04-18
"qtl0006","1.6.0","strOutcome",NA,"rate",FALSE,2023-04-18
