"workflowid","gsm_version","param","index","default","configurable","gsm_analysis_date"
"kri0001","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0001","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0001","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0001","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0001","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0001","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0002","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0002","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0002","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0002","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0002","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0002","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0003","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0003","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0003","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0003","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0003","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0003","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0004","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0004","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0004","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0004","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0004","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0004","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0005","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0005","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0005","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0005","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0005","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0005","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0006","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0006","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0006","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0006","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0006","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0006","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0007","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0007","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0007","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0007","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0007","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0007","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0008","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0008","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0008","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0008","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0008","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0008","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0009","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0009","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0009","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0009","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
"kri0009","1.6.0","vThreshold",4,"3",TRUE,"2016-12-01"
"kri0009","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2016-12-01"
"kri0010","1.6.0","strGroup",NA,"Site",FALSE,"2016-12-01"
"kri0010","1.6.0","vThreshold",1,"-3",TRUE,"2016-12-01"
"kri0010","1.6.0","vThreshold",2,"-2",TRUE,"2016-12-01"
"kri0010","1.6.0","vThreshold",3,"2",TRUE,"2016-12-01"
