studyid,workflowid,groupid,numerator,denominator,metric,score,flag,gsm_analysis_date
AA-AA-000-0000,cou0001,US,2869,580893,0.0049389474481531,0.977810128053455,0,2016-12-01
AA-AA-000-0000,cou0001,Japan,465,109801,0.00423493410806823,-0.622973987847821,0,2016-12-01
AA-AA-000-0000,cou0001,China,696,175341,0.00396940818177152,-1.28677533545723,0,2016-12-01
AA-AA-000-0000,cou0002,US,101,580893,0.00017387023083425,0.96855774883663,0,2016-12-01
AA-AA-000-0000,cou0002,Japan,11,109801,0.000100181236965055,-0.553356702365681,0,2016-12-01
AA-AA-000-0000,cou0002,China,11,175341,0.0000627348994245499,-1.325025376027,0,2016-12-01
AA-AA-000-0000,cou0003,Japan,555,116050,0.0047824213700991,1.24432602513319,0,2016-12-01
AA-AA-000-0000,cou0003,China,808,184122,0.00438839465137246,0.742217289074245,0,2016-12-01
AA-AA-000-0000,cou0003,US,2316,611835,0.00378533428130133,-0.949087055530477,0,2016-12-01
AA-AA-000-0000,cou0004,Japan,73,116050,0.000629039207238259,1.42395987159934,0,2016-12-01
AA-AA-000-0000,cou0004,China,98,184122,0.000532255786923887,0.459720804026367,0,2016-12-01
AA-AA-000-0000,cou0004,US,284,611835,0.000464177433458367,-0.872350311755631,0,2016-12-01
AA-AA-000-0000,cou0005,Japan,156,111418,0.00140013283311494,0.730740216293027,0,2016-12-01
AA-AA-000-0000,cou0005,US,791,613924,0.00128843309595325,0.494837298003144,0,2016-12-01
AA-AA-000-0000,cou0005,China,178,179621,0.000990975442737764,-1.49035391259827,0,2016-12-01
AA-AA-000-0000,cou0006,US,56,814,0.0687960687960688,0.796689708052825,0,2016-12-01
AA-AA-000-0000,cou0006,Japan,10,154,0.0649350649350649,0.070240032354653,0,2016-12-01
AA-AA-000-0000,cou0006,China,11,236,0.0466101694915254,-1.53634366172986,0,2016-12-01
AA-AA-000-0000,cou0007,Japan,18,154,0.116883116883117,1.38617961057107,0,2016-12-01
AA-AA-000-0000,cou0007,US,59,814,0.0724815724815725,-0.0442545465304041,0,2016-12-01
AA-AA-000-0000,cou0007,China,11,236,0.0466101694915254,-1.03756812901535,0,2016-12-01
AA-AA-000-0000,cou0008,China,6925,356780,0.0194097202758002,1.54716993179921,0,2016-12-01
AA-AA-000-0000,cou0008,US,23786,1237630,0.0192189911362847,-0.648162190075869,0,2016-12-01
AA-AA-000-0000,cou0008,Japan,4253,221523,0.0191989093683274,-0.431452172891151,0,2016-12-01
AA-AA-000-0000,cou0009,China,136,6925,0.0196389891696751,1.4927260327611,0,2016-12-01
AA-AA-000-0000,cou0009,US,416,23786,0.0174892794080552,-0.499989555381383,0,2016-12-01
AA-AA-000-0000,cou0009,Japan,71,4253,0.0166940982835645,-0.722343017981643,0,2016-12-01
AA-AA-000-0000,cou0010,Japan,1148,25924,0.0442832896158,1.60995314580122,0,2016-12-01
AA-AA-000-0000,cou0010,US,6145,144826,0.0424302266167677,-0.425186310229274,0,2016-12-01
AA-AA-000-0000,cou0010,China,1763,41750,0.0422275449101796,-0.476725780631136,0,2016-12-01
AA-AA-000-0000,cou0011,Japan,1103,221523,0.00497916694880441,1.06657179947828,0,2016-12-01
AA-AA-000-0000,cou0011,China,1765,356780,0.00494702617859745,0.962150119000296,0,2016-12-01
AA-AA-000-0000,cou0011,US,5972,1237630,0.00482535168022753,-0.967828365499472,0,2016-12-01
AA-AA-000-0000,cou0012,China,283,519,0.545279383429672,1.3517485210166,0,2016-12-01
AA-AA-000-0000,cou0012,Japan,146,300,0.486666666666667,0.387226399510739,0,2016-12-01
AA-AA-000-0000,cou0012,US,561,1375,0.408,-1.0113513986006,0,2016-12-01
AA-AA-000-0000,kri0001,145,2,4,0.5,,,2016-12-01
AA-AA-000-0000,kri0001,83,79,4471,0.0176694251845225,3.30822693728895,2,2016-12-01
AA-AA-000-0000,kri0001,43,336,21466,0.0156526600204975,6.12567090463208,2,2016-12-01
AA-AA-000-0000,kri0001,154,17,407,0.0417690417690418,2.84622071751511,1,2016-12-01
AA-AA-000-0000,kri0001,150,35,1591,0.0219987429289755,2.62985914823826,1,2016-12-01
AA-AA-000-0000,kri0001,25,36,1915,0.018798955613577,2.35298390050566,1,2016-12-01
AA-AA-000-0000,kri0001,132,16,671,0.0238450074515648,1.88967492516192,0,2016-12-01
AA-AA-000-0000,kri0001,165,4,219,0.0182648401826484,0.765668362738887,0,2016-12-01
AA-AA-000-0000,kri0001,171,10,671,0.014903129657228,1.00922575463356,0,2016-12-01
AA-AA-000-0000,kri0001,120,18,1430,0.0125874125874126,1.14044845626124,0,2016-12-01
AA-AA-000-0000,kri0001,42,8,672,0.0119047619047619,0.714527615335297,0,2016-12-01
AA-AA-000-0000,kri0001,31,10,841,0.0118906064209275,0.797781130123971,0,2016-12-01
AA-AA-000-0000,kri0001,162,16,1346,0.0118870728083209,1.0087793724331,0,2016-12-01
AA-AA-000-0000,kri0001,105,25,2180,0.0114678899082569,1.20941801329934,0,2016-12-01
AA-AA-000-0000,kri0001,64,30,2690,0.0111524163568773,1.28126401595648,0,2016-12-01
AA-AA-000-0000,kri0001,157,48,4492,0.0106856634016029,1.53679193736151,0,2016-12-01
AA-AA-000-0000,kri0001,65,9,847,0.0106257378984652,0.660694946182553,0,2016-12-01
AA-AA-000-0000,kri0001,134,39,3713,0.0105036358739564,1.35503581019244,0,2016-12-01
AA-AA-000-0000,kri0001,55,7,673,0.0104011887072808,0.566791409684111,0,2016-12-01
AA-AA-000-0000,kri0001,20,7,675,0.0103703703703704,0.564589456703163,0,2016-12-01
AA-AA-000-0000,kri0001,182,10,1000,0.01,0.642676876341032,0,2016-12-01
