"","studyid","workflowid","groupid","numerator","denominator","metric","score","flag","gsm_analysis_date"
"1","AA-AA-000-0000","cou0001","US",3301,626477,0.00526914794956559,0.986299997216599,0,"2018-12-01"
"2","AA-AA-000-0000","cou0001","Japan",535,117262,0.00456243284269414,-0.699325542758666,0,"2018-12-01"
"3","AA-AA-000-0000","cou0001","China",836,190411,0.0043905026495318,-1.24022421389676,0,"2018-12-01"
"4","AA-AA-000-0000","cou0002","US",108,626477,0.000172392601803418,0.988951098758782,0,"2018-12-01"
"5","AA-AA-000-0000","cou0002","Japan",11,117262,0.0000938070304105337,-0.733709283453061,0,"2018-12-01"
"6","AA-AA-000-0000","cou0002","China",15,190411,0.0000787769614150443,-1.2180502500466,0,"2018-12-01"
"7","AA-AA-000-0000","cou0003","Japan",605,124179,0.00487199929134556,1.24148257351732,0,"2018-12-01"
"8","AA-AA-000-0000","cou0003","China",888,199937,0.00444139904069782,0.746689171475963,0,"2018-12-01"
"9","AA-AA-000-0000","cou0003","US",2497,660250,0.00378190079515335,-0.949303060594118,0,"2018-12-01"
"10","AA-AA-000-0000","cou0004","Japan",79,124179,0.000636178419861651,1.53744457073955,0,"2018-12-01"
"11","AA-AA-000-0000","cou0004","China",101,199937,0.000505159125124414,0.194242785592968,0,"2018-12-01"
"12","AA-AA-000-0000","cou0004","US",303,660250,0.000458917076864824,-0.773649747720863,0,"2018-12-01"
"13","AA-AA-000-0000","cou0005","Japan",164,131365,0.00124842994709397,0.900580441970497,0,"2018-12-01"
"14","AA-AA-000-0000","cou0005","US",800,700369,0.00114225501128691,0.3858502211712,0,"2018-12-01"
"15","AA-AA-000-0000","cou0005","China",197,206667,0.000953224268993114,-1.42831175671222,0,"2018-12-01"
"16","AA-AA-000-0000","cou0006","Japan",13,165,0.0787878787878788,0.850296828082807,0,"2018-12-01"
"17","AA-AA-000-0000","cou0006","US",61,879,0.0693970420932878,0.41592472901244,0,"2018-12-01"
"18","AA-AA-000-0000","cou0006","China",13,257,0.0505836575875486,-1.45051781235125,0,"2018-12-01"
"19","AA-AA-000-0000","cou0007","Japan",22,165,0.133333333333333,1.4218199753259,0,"2018-12-01"
"20","AA-AA-000-0000","cou0007","US",67,879,0.0762229806598407,-0.0830491045525843,0,"2018-12-01"
"21","AA-AA-000-0000","cou0007","China",12,257,0.0466926070038911,-0.985662621791693,0,"2018-12-01"
"22","AA-AA-000-0000","cou0008","China",8394,410937,0.0204264887318494,1.50182209669636,0,"2018-12-01"
"23","AA-AA-000-0000","cou0008","Japan",5275,261173,0.0201973404601548,0.105479957294123,0,"2018-12-01"
"24","AA-AA-000-0000","cou0008","US",28323,1409257,0.0200978245983522,-0.85639031316555,0,"2018-12-01"
"25","AA-AA-000-0000","cou0009","China",160,8394,0.0190612342149154,1.43314449485946,0,"2018-12-01"
"26","AA-AA-000-0000","cou0009","Japan",96,5275,0.0181990521327014,0.320297882518489,0,"2018-12-01"
"27","AA-AA-000-0000","cou0009","US",494,28323,0.0174416551918935,-0.918425894293165,0,"2018-12-01"
"28","AA-AA-000-0000","cou0010","China",2048,48085,0.0425912446708953,1.14838638055837,0,"2018-12-01"
