"studyid","workflowid","groupid","numerator","denominator","metric","score","flag","gsm_analysis_date"
"AA-AA-000-0000","cou0001","US",3348,626477,0.00534417065590596,0.991318183725245,0,2023-04-18
"AA-AA-000-0000","cou0001","Japan",539,117262,0.00459654449011615,-0.772807852963509,0,2023-04-18
"AA-AA-000-0000","cou0001","China",856,190411,0.00449553859808519,-1.19166114353604,0,2023-04-18
"AA-AA-000-0000","cou0002","US",108,626477,0.000172392601803418,0.988951098758782,0,2023-04-18
"AA-AA-000-0000","cou0002","Japan",11,117262,0.0000938070304105337,-0.733709283453061,0,2023-04-18
"AA-AA-000-0000","cou0002","China",15,190411,0.0000787769614150443,-1.2180502500466,0,2023-04-18
"AA-AA-000-0000","cou0003","Japan",605,124179,0.00487199929134556,1.24148257351732,0,2023-04-18
"AA-AA-000-0000","cou0003","China",888,199937,0.00444139904069782,0.746689171475963,0,2023-04-18
"AA-AA-000-0000","cou0003","US",2497,660250,0.00378190079515335,-0.949303060594118,0,2023-04-18
"AA-AA-000-0000","cou0004","Japan",79,124179,0.000636178419861651,1.53744457073955,0,2023-04-18
"AA-AA-000-0000","cou0004","China",101,199937,0.000505159125124414,0.194242785592968,0,2023-04-18
"AA-AA-000-0000","cou0004","US",303,660250,0.000458917076864824,-0.773649747720863,0,2023-04-18
"AA-AA-000-0000","cou0005","Japan",164,133094,0.00123221182021729,0.912761375596401,0,2023-04-18
"AA-AA-000-0000","cou0005","US",803,711262,0.00112897919472712,0.378856320335242,0,2023-04-18
"AA-AA-000-0000","cou0005","China",200,210428,0.00095044385728135,-1.42243965065707,0,2023-04-18
"AA-AA-000-0000","cou0006","Japan",14,165,0.0848484848484849,1.01355502798708,0,2023-04-18
"AA-AA-000-0000","cou0006","US",62,879,0.0705346985210466,0.30250194226808,0,2023-04-18
"AA-AA-000-0000","cou0006","China",13,257,0.0505836575875486,-1.37156800056218,0,2023-04-18
"AA-AA-000-0000","cou0007","Japan",22,165,0.133333333333333,1.4218199753259,0,2023-04-18
"AA-AA-000-0000","cou0007","US",67,879,0.0762229806598407,-0.0830491045525843,0,2023-04-18
"AA-AA-000-0000","cou0007","China",12,257,0.0466926070038911,-0.985662621791693,0,2023-04-18
"AA-AA-000-0000","cou0008","China",8471,418175,0.0202570694087404,1.4591941126053,0,2023-04-18
"AA-AA-000-0000","cou0008","Japan",5307,264792,0.0200421462884075,0.254163251218684,0,2023-04-18
"AA-AA-000-0000","cou0008","US",28481,1431895,0.0198904249264087,-0.897860559033523,0,2023-04-18
"AA-AA-000-0000","cou0009","China",176,8471,0.0207767677960099,1.52847826862,0,2023-04-18
"AA-AA-000-0000","cou0009","Japan",101,5307,0.0190314678726211,-0.046841534308475,0,2023-04-18
"AA-AA-000-0000","cou0009","US",530,28481,0.0186088971595098,-0.813363420015949,0,2023-04-18
"AA-AA-000-0000","cou0010","Japan",1321,30984,0.0426349083397883,1.02732466895907,0,2023-04-18
"AA-AA-000-0000","cou0010","China",2083,48931,0.0425701498027835,0.993417062304811,0,2023-04-18
"AA-AA-000-0000","cou0010","US",7077,167547,0.0422388941610414,-0.978635051931933,0,2023-04-18
"AA-AA-000-0000","cou0011","Japan",80088,264792,0.302456267560954,1.61694076256316,0,2023-04-18
"AA-AA-000-0000","cou0011","China",125488,418175,0.300084892688468,-0.197303023088427,0,2023-04-18
"AA-AA-000-0000","cou0011","US",429506,1431895,0.299956351548123,-0.588705433507992,0,2023-04-18
"AA-AA-000-0000","cou0012","China",304,561,0.541889483065954,1.35591842415223,0,2023-04-18
"AA-AA-000-0000","cou0012","Japan",157,322,0.487577639751553,0.38541532161605,0,2023-04-18
"AA-AA-000-0000","cou0012","US",625,1504,0.415558510638298,-1.00644933151557,0,2023-04-18
"AA-AA-000-0000","kri0001","145",2,4,0.5,NA,NA,2023-04-18
"AA-AA-000-0000","kri0001","83",83,4471,0.0185640796242451,3.15024192822797,2,2023-04-18
"AA-AA-000-0000","kri0001","43",389,23066,0.0168646492673199,6.25367644197509,2,2023-04-18
"AA-AA-000-0000","kri0001","154",17,407,0.0417690417690418,2.58582851835916,1,2023-04-18
"AA-AA-000-0000","kri0001","150",35,1591,0.0219987429289755,2.35779518282116,1,2023-04-18
"AA-AA-000-0000","kri0001","25",36,1915,0.018798955613577,2.09760755937101,1,2023-04-18
"AA-AA-000-0000","kri0001","120",40,2271,0.0176133861734919,2.08691010630117,1,2023-04-18
"AA-AA-000-0000","kri0001","75",108,7621,0.0141713685867996,2.77329997703526,1,2023-04-18
"AA-AA-000-0000","kri0001","91",126,11534,0.0109242240332929,2.19355700584722,1,2023-04-18
"AA-AA-000-0000","kri0001","132",16,671,0.0238450074515648,1.69826784423598,0,2023-04-18
"AA-AA-000-0000","kri0001","165",4,219,0.0182648401826484,0.681740560457025,0,2023-04-18
"AA-AA-000-0000","kri0001","171",10,671,0.014903129657228,0.889125950418574,0,2023-04-18
"AA-AA-000-0000","kri0001","42",8,672,0.0119047619047619,0.618266736706449,0,2023-04-18
"AA-AA-000-0000","kri0001","31",10,841,0.0118906064209275,0.690220530387833,0,2023-04-18
"AA-AA-000-0000","kri0001","162",16,1346,0.011887072808321,0.872744469457247,0,2023-04-18
"AA-AA-000-0000","kri0001","105",25,2180,0.0114678899082569,1.04231975379425,0,2023-04-18
"AA-AA-000-0000","kri0001","22",38,3366,0.0112893642305407,1.258996960805,0,2023-04-18
"AA-AA-000-0000","kri0001","64",30,2690,0.0111524163568773,1.10068325873416,0,2023-04-18
"AA-AA-000-0000","kri0001","157",57,5335,0.0106841611996251,1.43060052653375,0,2023-04-18
"AA-AA-000-0000","kri0001","65",9,847,0.0106257378984652,0.564083976412545,0,2023-04-18
"AA-AA-000-0000","kri0001","55",7,673,0.0104011887072808,0.482467081233009,0,2023-04-18
"AA-AA-000-0000","kri0001","78",7,673,0.0104011887072808,0.482467081233009,0,2023-04-18
"AA-AA-000-0000","kri0001","20",7,675,0.0103703703703704,0.480386418224241,0,2023-04-18
"AA-AA-000-0000","kri0001","182",10,1000,0.01,0.543793822887044,0,2023-04-18
"AA-AA-000-0000","kri0001","119",15,1514,0.00990752972258917,0.656540544746413,0,2023-04-18
