"","studyid","workflowid","gsm_version","param","index","value","gsm_analysis_date"
"1","AA-AA-000-0000","kri0001","1.6.0","vThreshold",1,"-3","2019-12-01"
"2","AA-AA-000-0000","kri0001","1.6.0","vThreshold",2,"-2","2019-12-01"
"3","AA-AA-000-0000","kri0001","1.6.0","vThreshold",3,"2","2019-12-01"
"4","AA-AA-000-0000","kri0001","1.6.0","vThreshold",4,"3","2019-12-01"
"5","AA-AA-000-0000","kri0001","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"6","AA-AA-000-0000","kri0002","1.6.0","vThreshold",1,"-3","2019-12-01"
"7","AA-AA-000-0000","kri0002","1.6.0","vThreshold",2,"-2","2019-12-01"
"8","AA-AA-000-0000","kri0002","1.6.0","vThreshold",3,"2","2019-12-01"
"9","AA-AA-000-0000","kri0002","1.6.0","vThreshold",4,"3","2019-12-01"
"10","AA-AA-000-0000","kri0002","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"11","AA-AA-000-0000","kri0003","1.6.0","vThreshold",1,"-3","2019-12-01"
"12","AA-AA-000-0000","kri0003","1.6.0","vThreshold",2,"-2","2019-12-01"
"13","AA-AA-000-0000","kri0003","1.6.0","vThreshold",3,"2","2019-12-01"
"14","AA-AA-000-0000","kri0003","1.6.0","vThreshold",4,"3","2019-12-01"
"15","AA-AA-000-0000","kri0003","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"16","AA-AA-000-0000","kri0004","1.6.0","vThreshold",1,"-3","2019-12-01"
"17","AA-AA-000-0000","kri0004","1.6.0","vThreshold",2,"-2","2019-12-01"
"18","AA-AA-000-0000","kri0004","1.6.0","vThreshold",3,"2","2019-12-01"
"19","AA-AA-000-0000","kri0004","1.6.0","vThreshold",4,"3","2019-12-01"
"20","AA-AA-000-0000","kri0004","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"21","AA-AA-000-0000","kri0005","1.6.0","vThreshold",1,"-3","2019-12-01"
"22","AA-AA-000-0000","kri0005","1.6.0","vThreshold",2,"-2","2019-12-01"
"23","AA-AA-000-0000","kri0005","1.6.0","vThreshold",3,"2","2019-12-01"
"24","AA-AA-000-0000","kri0005","1.6.0","vThreshold",4,"3","2019-12-01"
"25","AA-AA-000-0000","kri0005","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"26","AA-AA-000-0000","kri0006","1.6.0","vThreshold",1,"-3","2019-12-01"
"27","AA-AA-000-0000","kri0006","1.6.0","vThreshold",2,"-2","2019-12-01"
"28","AA-AA-000-0000","kri0006","1.6.0","vThreshold",3,"2","2019-12-01"
"29","AA-AA-000-0000","kri0006","1.6.0","vThreshold",4,"3","2019-12-01"
"30","AA-AA-000-0000","kri0006","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"31","AA-AA-000-0000","kri0007","1.6.0","vThreshold",1,"-3","2019-12-01"
"32","AA-AA-000-0000","kri0007","1.6.0","vThreshold",2,"-2","2019-12-01"
"33","AA-AA-000-0000","kri0007","1.6.0","vThreshold",3,"2","2019-12-01"
"34","AA-AA-000-0000","kri0007","1.6.0","vThreshold",4,"3","2019-12-01"
"35","AA-AA-000-0000","kri0007","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"36","AA-AA-000-0000","kri0008","1.6.0","vThreshold",1,"-3","2019-12-01"
"37","AA-AA-000-0000","kri0008","1.6.0","vThreshold",2,"-2","2019-12-01"
"38","AA-AA-000-0000","kri0008","1.6.0","vThreshold",3,"2","2019-12-01"
"39","AA-AA-000-0000","kri0008","1.6.0","vThreshold",4,"3","2019-12-01"
"40","AA-AA-000-0000","kri0008","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"41","AA-AA-000-0000","kri0009","1.6.0","vThreshold",1,"-3","2019-12-01"
"42","AA-AA-000-0000","kri0009","1.6.0","vThreshold",2,"-2","2019-12-01"
"43","AA-AA-000-0000","kri0009","1.6.0","vThreshold",3,"2","2019-12-01"
"44","AA-AA-000-0000","kri0009","1.6.0","vThreshold",4,"3","2019-12-01"
"45","AA-AA-000-0000","kri0009","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"46","AA-AA-000-0000","kri0010","1.6.0","vThreshold",1,"-3","2019-12-01"
"47","AA-AA-000-0000","kri0010","1.6.0","vThreshold",2,"-2","2019-12-01"
"48","AA-AA-000-0000","kri0010","1.6.0","vThreshold",3,"2","2019-12-01"
"49","AA-AA-000-0000","kri0010","1.6.0","vThreshold",4,"3","2019-12-01"
"50","AA-AA-000-0000","kri0010","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"51","AA-AA-000-0000","kri0011","1.6.0","vThreshold",1,"-3","2019-12-01"
"52","AA-AA-000-0000","kri0011","1.6.0","vThreshold",2,"-2","2019-12-01"
"53","AA-AA-000-0000","kri0011","1.6.0","vThreshold",3,"2","2019-12-01"
"54","AA-AA-000-0000","kri0011","1.6.0","vThreshold",4,"3","2019-12-01"
"55","AA-AA-000-0000","kri0011","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"56","AA-AA-000-0000","kri0012","1.6.0","vThreshold",1,"-3","2019-12-01"
"57","AA-AA-000-0000","kri0012","1.6.0","vThreshold",2,"-2","2019-12-01"
"58","AA-AA-000-0000","kri0012","1.6.0","vThreshold",3,"2","2019-12-01"
"59","AA-AA-000-0000","kri0012","1.6.0","vThreshold",4,"3","2019-12-01"
"60","AA-AA-000-0000","kri0012","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"61","AA-AA-000-0000","cou0001","1.6.0","vThreshold",1,"-3","2019-12-01"
"62","AA-AA-000-0000","cou0001","1.6.0","vThreshold",2,"-2","2019-12-01"
"63","AA-AA-000-0000","cou0001","1.6.0","vThreshold",3,"2","2019-12-01"
"64","AA-AA-000-0000","cou0001","1.6.0","vThreshold",4,"3","2019-12-01"
"65","AA-AA-000-0000","cou0001","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"66","AA-AA-000-0000","cou0002","1.6.0","vThreshold",1,"-3","2019-12-01"
"67","AA-AA-000-0000","cou0002","1.6.0","vThreshold",2,"-2","2019-12-01"
"68","AA-AA-000-0000","cou0002","1.6.0","vThreshold",3,"2","2019-12-01"
"69","AA-AA-000-0000","cou0002","1.6.0","vThreshold",4,"3","2019-12-01"
"70","AA-AA-000-0000","cou0002","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"71","AA-AA-000-0000","cou0003","1.6.0","vThreshold",1,"-3","2019-12-01"
"72","AA-AA-000-0000","cou0003","1.6.0","vThreshold",2,"-2","2019-12-01"
"73","AA-AA-000-0000","cou0003","1.6.0","vThreshold",3,"2","2019-12-01"
"74","AA-AA-000-0000","cou0003","1.6.0","vThreshold",4,"3","2019-12-01"
"75","AA-AA-000-0000","cou0003","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"76","AA-AA-000-0000","cou0004","1.6.0","vThreshold",1,"-3","2019-12-01"
"77","AA-AA-000-0000","cou0004","1.6.0","vThreshold",2,"-2","2019-12-01"
"78","AA-AA-000-0000","cou0004","1.6.0","vThreshold",3,"2","2019-12-01"
"79","AA-AA-000-0000","cou0004","1.6.0","vThreshold",4,"3","2019-12-01"
"80","AA-AA-000-0000","cou0004","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"81","AA-AA-000-0000","cou0005","1.6.0","vThreshold",1,"-3","2019-12-01"
"82","AA-AA-000-0000","cou0005","1.6.0","vThreshold",2,"-2","2019-12-01"
"83","AA-AA-000-0000","cou0005","1.6.0","vThreshold",3,"2","2019-12-01"
"84","AA-AA-000-0000","cou0005","1.6.0","vThreshold",4,"3","2019-12-01"
