"","studyid","workflowid","gsm_version","active","status","notes","gsm_analysis_date"
"1","AA-AA-000-0000","kri0001","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"2","AA-AA-000-0000","kri0002","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"3","AA-AA-000-0000","kri0003","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"4","AA-AA-000-0000","kri0004","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"5","AA-AA-000-0000","kri0005","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"6","AA-AA-000-0000","kri0006","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"7","AA-AA-000-0000","kri0007","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"8","AA-AA-000-0000","kri0008","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"9","AA-AA-000-0000","kri0009","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"10","AA-AA-000-0000","kri0010","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"11","AA-AA-000-0000","kri0011","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"12","AA-AA-000-0000","kri0012","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"13","AA-AA-000-0000","cou0001","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"14","AA-AA-000-0000","cou0002","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"15","AA-AA-000-0000","cou0003","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"16","AA-AA-000-0000","cou0004","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"17","AA-AA-000-0000","cou0005","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"18","AA-AA-000-0000","cou0006","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"19","AA-AA-000-0000","cou0007","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"20","AA-AA-000-0000","cou0008","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"21","AA-AA-000-0000","cou0009","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"22","AA-AA-000-0000","cou0010","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"23","AA-AA-000-0000","cou0011","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"24","AA-AA-000-0000","cou0012","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"25","AA-AA-000-0000","qtl0004","1.6.0",TRUE,TRUE,NA,"2019-12-01"
"26","AA-AA-000-0000","qtl0006","1.6.0",TRUE,TRUE,NA,"2019-12-01"
