"GroupID","Param","Value","GroupLevel"
"10","ParticipantCount","20","Site"
"10","SiteCount","1","Site"
"100","ParticipantCount","2","Site"
"100","SiteCount","1","Site"
"101","ParticipantCount","3","Site"
"101","SiteCount","1","Site"
"102","ParticipantCount","3","Site"
"102","SiteCount","1","Site"
"103","ParticipantCount","4","Site"
"103","SiteCount","1","Site"
"104","ParticipantCount","9","Site"
"104","SiteCount","1","Site"
"105","ParticipantCount","3","Site"
"105","SiteCount","1","Site"
"106","ParticipantCount","3","Site"
"106","SiteCount","1","Site"
"107","ParticipantCount","3","Site"
"107","SiteCount","1","Site"
"109","ParticipantCount","4","Site"
"109","SiteCount","1","Site"
"11","ParticipantCount","9","Site"
"11","SiteCount","1","Site"
"110","ParticipantCount","1","Site"
"110","SiteCount","1","Site"
"111","ParticipantCount","2","Site"
"111","SiteCount","1","Site"
"112","ParticipantCount","2","Site"
"112","SiteCount","1","Site"
"113","ParticipantCount","8","Site"
"113","SiteCount","1","Site"
"114","ParticipantCount","7","Site"
"114","SiteCount","1","Site"
"115","ParticipantCount","3","Site"
"115","SiteCount","1","Site"
"116","ParticipantCount","3","Site"
"116","SiteCount","1","Site"
"117","ParticipantCount","1","Site"
"117","SiteCount","1","Site"
"118","ParticipantCount","17","Site"
"118","SiteCount","1","Site"
"119","ParticipantCount","2","Site"
"119","SiteCount","1","Site"
"12","ParticipantCount","1","Site"
"12","SiteCount","1","Site"
"120","ParticipantCount","3","Site"
"120","SiteCount","1","Site"
"121","ParticipantCount","6","Site"
"121","SiteCount","1","Site"
"122","ParticipantCount","9","Site"
"122","SiteCount","1","Site"
"123","ParticipantCount","1","Site"
"123","SiteCount","1","Site"
"124","ParticipantCount","4","Site"
"124","SiteCount","1","Site"
"126","ParticipantCount","1","Site"
"126","SiteCount","1","Site"
"127","ParticipantCount","5","Site"
"127","SiteCount","1","Site"
"128","ParticipantCount","5","Site"
"128","SiteCount","1","Site"
"129","ParticipantCount","2","Site"
"129","SiteCount","1","Site"
"13","ParticipantCount","8","Site"
"13","SiteCount","1","Site"
"130","ParticipantCount","3","Site"
"130","SiteCount","1","Site"
"131","ParticipantCount","7","Site"
"131","SiteCount","1","Site"
"132","ParticipantCount","1","Site"
"132","SiteCount","1","Site"
"133","ParticipantCount","5","Site"
"133","SiteCount","1","Site"
"134","ParticipantCount","6","Site"
"134","SiteCount","1","Site"
"135","ParticipantCount","5","Site"
"135","SiteCount","1","Site"
"136","ParticipantCount","2","Site"
"136","SiteCount","1","Site"
"137","ParticipantCount","7","Site"
"137","SiteCount","1","Site"
"138","ParticipantCount","6","Site"
"138","SiteCount","1","Site"
"139","ParticipantCount","58","Site"
"139","SiteCount","1","Site"
"14","ParticipantCount","1","Site"
"14","SiteCount","1","Site"
"140","ParticipantCount","69","Site"
"140","SiteCount","1","Site"
"141","ParticipantCount","12","Site"
"141","SiteCount","1","Site"
"142","ParticipantCount","4","Site"
"142","SiteCount","1","Site"
"143","ParticipantCount","28","Site"
"143","SiteCount","1","Site"
"144","ParticipantCount","4","Site"
"144","SiteCount","1","Site"
"145","ParticipantCount","1","Site"
"145","SiteCount","1","Site"
"146","ParticipantCount","7","Site"
"146","SiteCount","1","Site"
"147","ParticipantCount","5","Site"
"147","SiteCount","1","Site"
"148","ParticipantCount","2","Site"
"148","SiteCount","1","Site"
"149","ParticipantCount","8","Site"
"149","SiteCount","1","Site"
"15","ParticipantCount","5","Site"
"15","SiteCount","1","Site"
"150","ParticipantCount","2","Site"
"150","SiteCount","1","Site"
"151","ParticipantCount","3","Site"
"151","SiteCount","1","Site"
"152","ParticipantCount","6","Site"
"152","SiteCount","1","Site"
"153","ParticipantCount","4","Site"
"153","SiteCount","1","Site"
"154","ParticipantCount","1","Site"
"154","SiteCount","1","Site"
"155","ParticipantCount","10","Site"
"155","SiteCount","1","Site"
"156","ParticipantCount","9","Site"
"156","SiteCount","1","Site"
"157","ParticipantCount","7","Site"
"157","SiteCount","1","Site"
"158","ParticipantCount","1","Site"
"158","SiteCount","1","Site"
"159","ParticipantCount","1","Site"
"159","SiteCount","1","Site"
"16","ParticipantCount","3","Site"
"16","SiteCount","1","Site"
"160","ParticipantCount","7","Site"
"160","SiteCount","1","Site"
"161","ParticipantCount","5","Site"
"161","SiteCount","1","Site"
"162","ParticipantCount","2","Site"
"162","SiteCount","1","Site"
"163","ParticipantCount","3","Site"
"163","SiteCount","1","Site"
"164","ParticipantCount","7","Site"
"164","SiteCount","1","Site"
"165","ParticipantCount","1","Site"
"165","SiteCount","1","Site"
"166","ParticipantCount","20","Site"
"166","SiteCount","1","Site"
"167","ParticipantCount","15","Site"
"167","SiteCount","1","Site"
"168","ParticipantCount","3","Site"
"168","SiteCount","1","Site"
"17","ParticipantCount","12","Site"
"17","SiteCount","1","Site"
"170","ParticipantCount","27","Site"
"170","SiteCount","1","Site"
"171","ParticipantCount","1","Site"
"171","SiteCount","1","Site"
"172","ParticipantCount","28","Site"
"172","SiteCount","1","Site"
"173","ParticipantCount","27","Site"
"173","SiteCount","1","Site"
"174","ParticipantCount","6","Site"
"174","SiteCount","1","Site"
"175","ParticipantCount","1","Site"
"175","SiteCount","1","Site"
"176","ParticipantCount","5","Site"
"176","SiteCount","1","Site"
"177","ParticipantCount","5","Site"
