"GroupID","Param","Value","GroupLevel"
"AA-AA-000-0000","protocol_row_id","1-1G9113","Study"
"AA-AA-000-0000","studyid","AA-AA-000-0000","Study"
"AA-AA-000-0000","protocol_title","Protocol Title","Study"
"AA-AA-000-0000","nickname","Protocol Nickname","Study"
"AA-AA-000-0000","protocol_type","Investigator Sponsored","Study"
"AA-AA-000-0000","phase","P3","Study"
"AA-AA-000-0000","num_plan_site","190","Study"
"AA-AA-000-0000","num_site_actl","176","Study"
"AA-AA-000-0000","est_fpfv","2003-01-01","Study"
"AA-AA-000-0000","act_fpfv","2003-01-01","Study"
"AA-AA-000-0000","est_lplv","2021-06-01","Study"
"AA-AA-000-0000","act_lplv","2021-06-01","Study"
"AA-AA-000-0000","est_lpfv","2020-06-01","Study"
"AA-AA-000-0000","act_lpfv","2020-06-01","Study"
"AA-AA-000-0000","Status","Active","Study"
"AA-AA-000-0000","num_plan_subj","1300","Study"
"AA-AA-000-0000","num_enrolled_subj_m","1301","Study"
"AA-AA-000-0000","protocol_indication","Protocol Indication","Study"
"AA-AA-000-0000","product","Product","Study"
"AA-AA-000-0000","therapeutic_area","Therapeutic Area","Study"
"AA-AA-000-0000","protocol_product_number","123","Study"
"AA-AA-000-0000","x_rbm_flg","Y","Study"
"AA-AA-000-0000","ParticipantCount","50","Study"
"AA-AA-000-0000","SiteCount","154","Study"
"0X126","protocol_row_id","1-1G9113","Site"
"0X126","site_num","10","Site"
"0X126","site_row_id","123-1234-0X126","Site"
"0X126","studyid","AA-AA-000-0000","Site"
"0X126","invid","0X126","Site"
"0X126","InvestigatorLastName","Torres","Site"
"0X126","InvestigatorFirstName","Ariel","Site"
"0X126","site_status","Active","Site"
"0X126","is_satellite","FALSE","Site"
"0X126","account","city 1 Medical Center","Site"
"0X126","site_active_dt","2004-01-31","Site"
"0X126","City","city 1","Site"
"0X126","State","state 1","Site"
"0X126","Country","China","Site"
"X060X","protocol_row_id","1-1G9113","Site"
"X060X","site_num","100","Site"
"X060X","site_row_id","123-1234-X060X","Site"
"X060X","studyid","AA-AA-000-0000","Site"
"X060X","invid","X060X","Site"
"X060X","InvestigatorLastName","Spangler","Site"
"X060X","InvestigatorFirstName","Cheyenne","Site"
"X060X","site_status","Active","Site"
"X060X","is_satellite","FALSE","Site"
"X060X","account","city 1 Medical Center","Site"
"X060X","site_active_dt","2011-09-29","Site"
"X060X","City","city 1","Site"
"X060X","State","state 1","Site"
"X060X","Country","Japan","Site"
"0X174","protocol_row_id","1-1G9113","Site"
"0X174","site_num","101","Site"
"0X174","site_row_id","123-1234-0X174","Site"
"0X174","studyid","AA-AA-000-0000","Site"
"0X174","invid","0X174","Site"
"0X174","InvestigatorLastName","Broughton","Site"
"0X174","InvestigatorFirstName","Macallyson","Site"
"0X174","site_status","Active","Site"
"0X174","is_satellite","FALSE","Site"
"0X174","account","city 1 Medical Center","Site"
"0X174","site_active_dt","2006-03-03","Site"
"0X174","City","city 1","Site"
"0X174","State","state 1","Site"
"0X174","Country","US","Site"
"0X073","protocol_row_id","1-1G9113","Site"
"0X073","site_num","102","Site"
"0X073","site_row_id","123-1234-0X073","Site"
"0X073","studyid","AA-AA-000-0000","Site"
"0X073","invid","0X073","Site"
"0X073","InvestigatorLastName","Lester","Site"
"0X073","InvestigatorFirstName","Asa","Site"
"0X073","site_status","Active","Site"
"0X073","is_satellite","FALSE","Site"
"0X073","account","city 1 Medical Center","Site"
"0X073","site_active_dt","2012-09-18","Site"
"0X073","City","city 1","Site"
"0X073","State","state 1","Site"
"0X073","Country","US","Site"
"0X176","protocol_row_id","1-1G9113","Site"
"0X176","site_num","103","Site"
