"Type","ID","GroupLevel","Abbreviation","Metric","Numerator","Denominator","Model","AnalysisType","Score","Threshold","nMinDenominator","Priority","Output","Name","Description","MetricID"
"Analysis","kri0001","Site","AE","Adverse Event Rate","Adverse Events","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-2,-1,2,3",30,0,NA,NA,NA,"Analysis_kri0001"
"Analysis","kri0002","Site","SAE","Serious Adverse Event Rate","Serious Adverse Events","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-2,-1,2,3",30,0,NA,NA,NA,"Analysis_kri0002"
"Analysis","kri0003","Site","PD","Non-Important Protocol Deviation Rate","Non-Important Protocol Deviations","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0003"
"Analysis","kri0004","Site","PD","Important Protocol Deviation Rate","Important Protocol Deviations","Days on Study","Normal Approximation","rate","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0004"
"Analysis","kri0005","Site","LB","Grade 3+ Lab Abnormality Rate","Grade 3+ Abnormal Labs Samples","Total Lab Samples","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0005"
"Analysis","kri0006","Site","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Enrolled Subjects","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",3,0,NA,NA,NA,"Analysis_kri0006"
"Analysis","kri0007","Site","TDSC","Treatment Discontinuation Rate","Subjects Discontinued - Treatment","Enrolled Subjects","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",3,0,NA,NA,NA,"Analysis_kri0007"
"Analysis","kri0008","Site","QRY","Query Rate","Queries","Total Data Points","Normal Approximation","rate","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0008"
"Analysis","kri0009","Site","OQRY","Outstanding Query Rate","Queries Open > 30 Days","Total Queries","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0009"
"Analysis","kri0010","Site","ODAT","Outstanding Data Entry Rate","Data Pages Entered > 10 Days","Total Data Pages","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0010"
"Analysis","kri0011","Site","CDAT","Data Change Rate","Data Points with 1+ Change","Total Data Points","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",30,0,NA,NA,NA,"Analysis_kri0011"
"Analysis","kri0012","Site","SF","Screen Failure Rate","Screen Failures","Screened Subjects","Normal Approximation","binary","Adjusted Z-Score","-3,-2,2,3",3,0,NA,NA,NA,"Analysis_kri0012"
