"","GroupID","Param","Value","GroupLevel"
"1","10","ParticipantCount","20","Site"
"2","10","SiteCount","1","Site"
"3","100","ParticipantCount","2","Site"
"4","100","SiteCount","1","Site"
"5","101","ParticipantCount","3","Site"
"6","101","SiteCount","1","Site"
"7","102","ParticipantCount","3","Site"
"8","102","SiteCount","1","Site"
"9","103","ParticipantCount","4","Site"
"10","103","SiteCount","1","Site"
"11","104","ParticipantCount","9","Site"
"12","104","SiteCount","1","Site"
"13","105","ParticipantCount","3","Site"
"14","105","SiteCount","1","Site"
"15","106","ParticipantCount","3","Site"
"16","106","SiteCount","1","Site"
"17","107","ParticipantCount","3","Site"
"18","107","SiteCount","1","Site"
"19","109","ParticipantCount","4","Site"
"20","109","SiteCount","1","Site"
"21","11","ParticipantCount","9","Site"
"22","11","SiteCount","1","Site"
"23","110","ParticipantCount","1","Site"
"24","110","SiteCount","1","Site"
"25","111","ParticipantCount","2","Site"
"26","111","SiteCount","1","Site"
"27","112","ParticipantCount","2","Site"
"28","112","SiteCount","1","Site"
"29","113","ParticipantCount","8","Site"
"30","113","SiteCount","1","Site"
"31","114","ParticipantCount","7","Site"
"32","114","SiteCount","1","Site"
"33","115","ParticipantCount","3","Site"
"34","115","SiteCount","1","Site"
"35","116","ParticipantCount","3","Site"
"36","116","SiteCount","1","Site"
"37","117","ParticipantCount","1","Site"
"38","117","SiteCount","1","Site"
"39","118","ParticipantCount","17","Site"
"40","118","SiteCount","1","Site"
"41","119","ParticipantCount","2","Site"
"42","119","SiteCount","1","Site"
"43","12","ParticipantCount","1","Site"
"44","12","SiteCount","1","Site"
"45","120","ParticipantCount","3","Site"
"46","120","SiteCount","1","Site"
"47","121","ParticipantCount","6","Site"
"48","121","SiteCount","1","Site"
"49","122","ParticipantCount","9","Site"
"50","122","SiteCount","1","Site"
"51","123","ParticipantCount","1","Site"
"52","123","SiteCount","1","Site"
"53","124","ParticipantCount","4","Site"
"54","124","SiteCount","1","Site"
"55","126","ParticipantCount","1","Site"
"56","126","SiteCount","1","Site"
"57","127","ParticipantCount","5","Site"
"58","127","SiteCount","1","Site"
"59","128","ParticipantCount","5","Site"
"60","128","SiteCount","1","Site"
"61","129","ParticipantCount","2","Site"
"62","129","SiteCount","1","Site"
"63","13","ParticipantCount","8","Site"
"64","13","SiteCount","1","Site"
"65","130","ParticipantCount","3","Site"
"66","130","SiteCount","1","Site"
"67","131","ParticipantCount","7","Site"
"68","131","SiteCount","1","Site"
"69","132","ParticipantCount","1","Site"
"70","132","SiteCount","1","Site"
"71","133","ParticipantCount","5","Site"
"72","133","SiteCount","1","Site"
"73","134","ParticipantCount","6","Site"
"74","134","SiteCount","1","Site"
"75","135","ParticipantCount","5","Site"
"76","135","SiteCount","1","Site"
"77","136","ParticipantCount","2","Site"
"78","136","SiteCount","1","Site"
"79","137","ParticipantCount","7","Site"
"80","137","SiteCount","1","Site"
"81","138","ParticipantCount","6","Site"
"82","138","SiteCount","1","Site"
"83","139","ParticipantCount","58","Site"
"84","139","SiteCount","1","Site"
"85","14","ParticipantCount","1","Site"
"86","14","SiteCount","1","Site"
"87","140","ParticipantCount","69","Site"
"88","140","SiteCount","1","Site"
"89","141","ParticipantCount","12","Site"
"90","141","SiteCount","1","Site"
"91","142","ParticipantCount","4","Site"
"92","142","SiteCount","1","Site"
"93","143","ParticipantCount","28","Site"
"94","143","SiteCount","1","Site"
"95","144","ParticipantCount","4","Site"
"96","144","SiteCount","1","Site"
"97","145","ParticipantCount","1","Site"
"98","145","SiteCount","1","Site"
"99","146","ParticipantCount","7","Site"
"100","146","SiteCount","1","Site"
"101","147","ParticipantCount","5","Site"
"102","147","SiteCount","1","Site"
"103","148","ParticipantCount","2","Site"
"104","148","SiteCount","1","Site"
"105","149","ParticipantCount","8","Site"
"106","149","SiteCount","1","Site"
"107","15","ParticipantCount","5","Site"
"108","15","SiteCount","1","Site"
"109","150","ParticipantCount","2","Site"
"110","150","SiteCount","1","Site"
"111","151","ParticipantCount","3","Site"
"112","151","SiteCount","1","Site"
"113","152","ParticipantCount","6","Site"
"114","152","SiteCount","1","Site"
"115","153","ParticipantCount","4","Site"
"116","153","SiteCount","1","Site"
"117","154","ParticipantCount","1","Site"
"118","154","SiteCount","1","Site"
"119","155","ParticipantCount","10","Site"
"120","155","SiteCount","1","Site"
"121","156","ParticipantCount","9","Site"
"122","156","SiteCount","1","Site"
"123","157","ParticipantCount","7","Site"
"124","157","SiteCount","1","Site"
"125","158","ParticipantCount","1","Site"
"126","158","SiteCount","1","Site"
"127","159","ParticipantCount","1","Site"
"128","159","SiteCount","1","Site"
"129","16","ParticipantCount","3","Site"
"130","16","SiteCount","1","Site"
"131","160","ParticipantCount","7","Site"
"132","160","SiteCount","1","Site"
"133","161","ParticipantCount","5","Site"
"134","161","SiteCount","1","Site"
"135","162","ParticipantCount","2","Site"
"136","162","SiteCount","1","Site"
"137","163","ParticipantCount","3","Site"
"138","163","SiteCount","1","Site"
"139","164","ParticipantCount","7","Site"
"140","164","SiteCount","1","Site"
"141","165","ParticipantCount","1","Site"
"142","165","SiteCount","1","Site"
"143","166","ParticipantCount","20","Site"
"144","166","SiteCount","1","Site"
"145","167","ParticipantCount","15","Site"
"146","167","SiteCount","1","Site"
"147","168","ParticipantCount","3","Site"
"148","168","SiteCount","1","Site"
"149","17","ParticipantCount","12","Site"
"150","17","SiteCount","1","Site"
"151","170","ParticipantCount","27","Site"
"152","170","SiteCount","1","Site"
"153","171","ParticipantCount","1","Site"
"154","171","SiteCount","1","Site"
"155","172","ParticipantCount","28","Site"
"156","172","SiteCount","1","Site"
"157","173","ParticipantCount","27","Site"
"158","173","SiteCount","1","Site"
"159","174","ParticipantCount","6","Site"
"160","174","SiteCount","1","Site"
"161","175","ParticipantCount","1","Site"
"162","175","SiteCount","1","Site"
"163","176","ParticipantCount","5","Site"
"164","176","SiteCount","1","Site"
"165","177","ParticipantCount","5","Site"
"166","177","SiteCount","1","Site"
"167","178","ParticipantCount","2","Site"
"168","178","SiteCount","1","Site"
"169","179","ParticipantCount","4","Site"
"170","179","SiteCount","1","Site"
"171","18","ParticipantCount","2","Site"
"172","18","SiteCount","1","Site"
"173","180","ParticipantCount","1","Site"
"174","180","SiteCount","1","Site"
"175","181","ParticipantCount","3","Site"
"176","181","SiteCount","1","Site"
"177","182","ParticipantCount","2","Site"
"178","182","SiteCount","1","Site"
"179","183","ParticipantCount","2","Site"
"180","183","SiteCount","1","Site"
"181","184","ParticipantCount","5","Site"
"182","184","SiteCount","1","Site"
"183","185","ParticipantCount","2","Site"
"184","185","SiteCount","1","Site"
"185","186","ParticipantCount","5","Site"
"186","186","SiteCount","1","Site"
"187","187","ParticipantCount","5","Site"
"188","187","SiteCount","1","Site"
"189","188","ParticipantCount","3","Site"
"190","188","SiteCount","1","Site"
"191","189","ParticipantCount","28","Site"
"192","189","SiteCount","1","Site"
"193","19","ParticipantCount","3","Site"
"194","19","SiteCount","1","Site"
"195","190","ParticipantCount","7","Site"
"196","190","SiteCount","1","Site"
"197","20","ParticipantCount","1","Site"
"198","20","SiteCount","1","Site"
"199","22","ParticipantCount","5","Site"
"200","22","SiteCount","1","Site"
"201","23","ParticipantCount","5","Site"
"202","23","SiteCount","1","Site"
"203","25","ParticipantCount","3","Site"
"204","25","SiteCount","1","Site"
"205","26","ParticipantCount","7","Site"
"206","26","SiteCount","1","Site"
"207","27","ParticipantCount","4","Site"
"208","27","SiteCount","1","Site"
"209","28","ParticipantCount","5","Site"
"210","28","SiteCount","1","Site"
"211","29","ParticipantCount","7","Site"
"212","29","SiteCount","1","Site"
"213","3","ParticipantCount","2","Site"
"214","3","SiteCount","1","Site"
"215","30","ParticipantCount","7","Site"
"216","30","SiteCount","1","Site"
"217","31","ParticipantCount","1","Site"
"218","31","SiteCount","1","Site"
"219","32","ParticipantCount","3","Site"
"220","32","SiteCount","1","Site"
"221","33","ParticipantCount","1","Site"
"222","33","SiteCount","1","Site"
"223","34","ParticipantCount","8","Site"
"224","34","SiteCount","1","Site"
"225","35","ParticipantCount","5","Site"
"226","35","SiteCount","1","Site"
"227","36","ParticipantCount","1","Site"
"228","36","SiteCount","1","Site"
"229","38","ParticipantCount","1","Site"
"230","38","SiteCount","1","Site"
"231","39","ParticipantCount","4","Site"
"232","39","SiteCount","1","Site"
"233","4","ParticipantCount","9","Site"
"234","4","SiteCount","1","Site"
"235","40","ParticipantCount","3","Site"
"236","40","SiteCount","1","Site"
"237","41","ParticipantCount","2","Site"
"238","41","SiteCount","1","Site"
"239","42","ParticipantCount","1","Site"
"240","42","SiteCount","1","Site"
"241","43","ParticipantCount","33","Site"
"242","43","SiteCount","1","Site"
"243","44","ParticipantCount","4","Site"
"244","44","SiteCount","1","Site"
"245","45","ParticipantCount","1","Site"
"246","45","SiteCount","1","Site"
"247","46","ParticipantCount","2","Site"
"248","46","SiteCount","1","Site"
"249","47","ParticipantCount","3","Site"
"250","47","SiteCount","1","Site"
"251","48","ParticipantCount","1","Site"
"252","48","SiteCount","1","Site"
"253","49","ParticipantCount","4","Site"
"254","49","SiteCount","1","Site"
"255","5","ParticipantCount","43","Site"
"256","5","SiteCount","1","Site"
"257","50","ParticipantCount","8","Site"
"258","50","SiteCount","1","Site"
"259","51","ParticipantCount","11","Site"
"260","51","SiteCount","1","Site"
"261","52","ParticipantCount","3","Site"
"262","52","SiteCount","1","Site"
"263","53","ParticipantCount","3","Site"
"264","53","SiteCount","1","Site"
"265","54","ParticipantCount","17","Site"
"266","54","SiteCount","1","Site"
"267","55","ParticipantCount","1","Site"
"268","55","SiteCount","1","Site"
"269","56","ParticipantCount","25","Site"
"270","56","SiteCount","1","Site"
"271","57","ParticipantCount","2","Site"
"272","57","SiteCount","1","Site"
"273","58","ParticipantCount","20","Site"
"274","58","SiteCount","1","Site"
"275","59","ParticipantCount","8","Site"
"276","59","SiteCount","1","Site"
"277","6","ParticipantCount","1","Site"
"278","6","SiteCount","1","Site"
"279","60","ParticipantCount","4","Site"
"280","60","SiteCount","1","Site"
"281","61","ParticipantCount","15","Site"
"282","61","SiteCount","1","Site"
"283","62","ParticipantCount","34","Site"
"284","62","SiteCount","1","Site"
"285","63","ParticipantCount","10","Site"
"286","63","SiteCount","1","Site"
"287","64","ParticipantCount","4","Site"
"288","64","SiteCount","1","Site"
"289","65","ParticipantCount","1","Site"
"290","65","SiteCount","1","Site"
"291","66","ParticipantCount","1","Site"
"292","66","SiteCount","1","Site"
"293","67","ParticipantCount","11","Site"
"294","67","SiteCount","1","Site"
"295","68","ParticipantCount","4","Site"
"296","68","SiteCount","1","Site"
"297","69","ParticipantCount","12","Site"
"298","69","SiteCount","1","Site"
"299","7","ParticipantCount","9","Site"
"300","7","SiteCount","1","Site"
"301","70","ParticipantCount","3","Site"
"302","70","SiteCount","1","Site"
"303","71","ParticipantCount","10","Site"
"304","71","SiteCount","1","Site"
"305","72","ParticipantCount","1","Site"
"306","72","SiteCount","1","Site"
"307","73","ParticipantCount","4","Site"
"308","73","SiteCount","1","Site"
"309","75","ParticipantCount","10","Site"
"310","75","SiteCount","1","Site"
"311","76","ParticipantCount","12","Site"
"312","76","SiteCount","1","Site"
"313","77","ParticipantCount","17","Site"
"314","77","SiteCount","1","Site"
"315","78","ParticipantCount","1","Site"
"316","78","SiteCount","1","Site"
"317","8","ParticipantCount","23","Site"
"318","8","SiteCount","1","Site"
"319","80","ParticipantCount","5","Site"
"320","80","SiteCount","1","Site"
"321","81","ParticipantCount","4","Site"
"322","81","SiteCount","1","Site"
"323","82","ParticipantCount","2","Site"
"324","82","SiteCount","1","Site"
"325","83","ParticipantCount","7","Site"
"326","83","SiteCount","1","Site"
"327","84","ParticipantCount","3","Site"
"328","84","SiteCount","1","Site"
"329","85","ParticipantCount","13","Site"
"330","85","SiteCount","1","Site"
"331","86","ParticipantCount","22","Site"
"332","86","SiteCount","1","Site"
"333","87","ParticipantCount","1","Site"
"334","87","SiteCount","1","Site"
"335","89","ParticipantCount","6","Site"
"336","89","SiteCount","1","Site"
"337","9","ParticipantCount","2","Site"
"338","9","SiteCount","1","Site"
"339","91","ParticipantCount","16","Site"
"340","91","SiteCount","1","Site"
"341","92","ParticipantCount","15","Site"
"342","92","SiteCount","1","Site"
"343","94","ParticipantCount","36","Site"
"344","94","SiteCount","1","Site"
"345","96","ParticipantCount","4","Site"
