"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"83","Site",83,4736,0.0175253378378378,3.14163226752837,2
"43","Site",400,24166,0.0165521807498138,6.54826938191601,2
"75","Site",114,7957,0.0143270076662059,3.03802341288682,2
"154","Site",17,475,0.0357894736842105,2.43779566976997,1
"150","Site",35,1647,0.021250758955677,2.40068640110128,1
"25","Site",39,2034,0.0191740412979351,2.3283739998252,1
"120","Site",42,2406,0.0174563591022444,2.22695859787585,1
"91","Site",129,12408,0.0103965183752418,2.20674547483598,1
"140","Site",148,50949,0.00290486564996369,-1.65780445212983,-1
"172","Site",42,22818,0.00184065211674993,-1.69214099265643,-1
"77","Site",24,13320,0.0018018018018018,-1.30910779757909,-1
"173","Site",36,20748,0.00173510699826489,-1.66866942206872,-1
"92","Site",18,10653,0.00168966488313151,-1.21268967127282,-1
"67","Site",12,7627,0.00157335780778812,-1.06292014285083,-1
"155","Site",11,7803,0.00140971421248238,-1.12751121536412,-1
"54","Site",19,13479,0.00140960011870317,-1.48194803336889,-1
"141","Site",13,9602,0.00135388460737346,-1.27058117254298,-1
"143","Site",25,20902,0.00119605779351258,-1.95733853764315,-1
"156","Site",6,6832,0.000878220140515222,-1.21426712431234,-1
"10","Site",8,13774,0.000580804414113547,-1.85065488264417,-1
"85","Site",5,10519,0.000475330354596445,-1.65648156437388,-1
"176","Site",1,3536,0.000282805429864253,-1.00190477986326,-1
"127","Site",0,3779,0,-1.09877551498442,-1
"145","Site",2,53,0.0377358490566038,0.865669489732812,0
"132","Site",16,713,0.0224403927068724,1.6946925051475,0
"171","Site",11,715,0.0153846153846154,1.01319502036307,0
"64","Site",34,2833,0.0120014119308154,1.36407946147523,0
"31","Site",10,858,0.0116550116550117,0.713910013828212,0
"42","Site",8,702,0.0113960113960114,0.620881876790833,0
"78","Site",8,715,0.0111888111888112,0.606521782334373,0
"162","Site",16,1430,0.0111888111888112,0.857751330451973,0
"105","Site",25,2285,0.0109409190371991,1.04131562354966,0
"22","Site",39,3570,0.0109243697478992,1.29800337515657,0
"157","Site",57,5594,0.0101894887379335,1.42558094803518,0
"65","Site",9,885,0.0101694915254237,0.564868758064503,0
"55","Site",7,697,0.0100430416068867,0.489193021569803,0
"116","Site",18,1821,0.00988467874794069,0.766217459643099,0
"20","Site",7,720,0.00972222222222222,0.465995281736393,0
"119","Site",15,1570,0.00955414012738853,0.663980820403561,0
"146","Site",58,6195,0.00936238902340597,1.2642379050774,0
"182","Site",10,1070,0.00934579439252336,0.523444464484216,0
"134","Site",45,4824,0.00932835820895522,1.10704098183474,0
"165","Site",4,441,0.0090702947845805,0.315074520764327,0
"47","Site",24,2658,0.0090293453724605,0.765867391004032,0
"128","Site",29,3213,0.00902583255524432,0.841315786112864,0
