studyid,workflowid,gsm_version,param,index,value,gsm_analysis_date,snapshot_date
AA-AA-000-0000,kri0001,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0001,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0001,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0002,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0002,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0003,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0003,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0004,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0004,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0005,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0005,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,1,-3.3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0006,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0006,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0007,1.4.1,vThreshold,4,3.3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0007,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,1,-3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,2,-2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,3,2,2003-12-01,2003-12-01
AA-AA-000-0000,kri0008,1.4.1,vThreshold,4,3,2003-12-01,2003-12-01
AA-AA-000-0000,kri0008,1.4.1,strMethod,,NormalApprox,2003-12-01,2003-12-01
