Table Name,Column Name,Description
meta_study,studyid,Unique Study ID
meta_study,enrolled_sites,# of enrolled sites
meta_study,enrolled_participants,# of enrolled participants
meta_study,planned_sites,# of planned sites
meta_study,planned_participants,# of planned participants
meta_study,title,Protocol title
meta_study,nickname,Protocol nickname
meta_study,indication,Indication
meta_study,ta,Therapeutic Area
meta_study,phase,Phase
meta_study,status,Study Status
meta_study,fpfv,First-patient first visit date
meta_study,lplv,Last-patient last visit date
meta_study,lpfv,Last-patient first visit date
meta_study,rbm_flag,Risk-based monitoring flag
meta_site,studyid,Unique Study ID
meta_site,siteid,Unique Site ID
meta_site,institution,Institution Name
meta_site,status,Site Status
meta_site,enrolled_participants,# of enrolled participants
meta_site,start_date,Site Activation Date
meta_site,city,City
meta_site,state,State
meta_site,country,Country
meta_site,invname,Investigator name
config_workflow,studyid,Unique Study ID
config_workflow,workflowid,Unique Workflow ID
config_workflow,gsm_version,GSM version of workflow
config_workflow,active,Is workflow active?
config_param,studyid,Unique Study ID
config_param,workflowid,Unique Workflow ID
config_param,gsm_version,GSM version of workflow
config_param,param,Parameter name
config_param,index,Index value for parameter
config_param,value,Value for parameter at index
config_schedule,studyid,Unique Study ID
config_schedule,snapshot_date,Snapshot Date
meta_workflow,workflowid,Unique Workflow ID
meta_workflow,abbreviation,Workflow Abbreviation (max 3-letters)
meta_workflow,gsm_version,GSM Version of workflow
meta_workflow,group,"Group for workflow - Site, Country, Region or Study"
meta_workflow,metric,Metric Label
meta_workflow,numerator,Numerator Label
meta_workflow,denominator,Denominator Label
meta_workflow,outcome,Metric Outcome Type (e.g. rate)
meta_workflow,model,Statistical Model used to create score
meta_workflow,score,Score Label
meta_workflow,data_inputs,Data inputs for workflow
meta_workflow,data_filters,Filters applied in workflow
meta_param,workflowid,Unique Workflow ID
meta_param,gsm_version,GSM version of workflow
meta_param,param,Parameter name
meta_param,index,Parameter index
meta_param,default,Default value for parameter at index
meta_param,configurable,Is parameter configurable?
