"studyid","workflowid","gsm_version","param","index","value","gsm_analysis_date"
"AA-AA-000-0000","kri0001","1.7.3","vThreshold",1,"-3",2017-11-01
"AA-AA-000-0000","kri0001","1.7.3","vThreshold",2,"-2",2017-11-01
"AA-AA-000-0000","kri0001","1.7.3","vThreshold",3,"2",2017-11-01
"AA-AA-000-0000","kri0001","1.7.3","vThreshold",4,"3",2017-11-01
"AA-AA-000-0000","kri0001","1.7.3","strMethod",NA,"NormalApprox",2017-11-01
"AA-AA-000-0000","kri0002","1.7.3","vThreshold",1,"-3",2017-11-01
"AA-AA-000-0000","kri0002","1.7.3","vThreshold",2,"-2",2017-11-01
"AA-AA-000-0000","kri0002","1.7.3","vThreshold",3,"2",2017-11-01
"AA-AA-000-0000","kri0002","1.7.3","vThreshold",4,"3",2017-11-01
"AA-AA-000-0000","kri0002","1.7.3","strMethod",NA,"NormalApprox",2017-11-01
